play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
46,2009091000,PIT,TEN,PIT,home,TEN,TEN,30,10-09-2009,900,1800,3600,Half1,0,1,0,1,,0,15:00,TEN 30,0,0,R.Bironas kicks 67 yards from TEN 30 to PIT 3. S.Logan to PIT 42 for 39 yards (M.Griffin).,kickoff,0,0,0,0,0,0,0,,,,,,,,67,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.001506327,0.179748786,0.006639108,0.281137706,0.213700143,0.003592313,0.313675617,0,0,0.323525854,2.014473905,2.014473905,-2.014473905,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,S.Logan,00-0026491,,,,,R.Bironas,00-0020962,,,,,,,,,,,,,,,,,,,TEN,,00-0025406,,M.Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,39,,,,,0,,,0,0,0,0
68,2009091000,PIT,TEN,PIT,home,TEN,PIT,58,10-09-2009,893,1793,3593,Half1,0,1,0,1,1,0,14:53,PIT 42,10,5,(14:53) B.Roethlisberger pass short left to H.Ward to PIT 47 for 5 yards (C.Hope).,pass,5,0,0,1,0,0,0,short,left,-3,8,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.000968573,0.108505342,0.001060706,0.169116698,0.293699785,0.00363751,0.423011386,0,0,2.337999759,0.077907158,2.092381063,-2.092381063,0,0,0.077907158,-0.077907158,-0.938735355,1.016642513,-0.938735355,1.016642513,-0.938735355,0.938735355,1.016642513,-1.016642513,-0.938735355,0.938735355,1.016642513,-1.016642513,0.54643284,0.45356716,0.54643284,0.45356716,0.004654977,0.551087817,0.448912183,0,0,0.004654977,-0.004654977,-0.028383374,0.033038351,-0.028383374,0.033038351,-0.028383374,0.028383374,0.033038351,-0.033038351,-0.028383374,0.028383374,0.033038351,-0.033038351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0017162,H.Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0021219,,C.Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
92,2009091000,PIT,TEN,PIT,home,TEN,PIT,53,10-09-2009,856,1756,3556,Half1,0,1,0,1,2,0,14:16,PIT 47,5,2,(14:16) W.Parker right end to PIT 44 for -3 yards (S.Tulloch).,run,-3,0,0,0,0,0,0,,,,,right,end,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001057215,0.105106231,0.0009808,0.162746772,0.30480453,0.003826029,0.421478423,0,0,2.415906917,-1.402759831,0.689621232,-0.689621232,-1.402759831,1.402759831,0.077907158,-0.077907158,,,0,0,-0.938735355,0.938735355,1.016642513,-1.016642513,-0.938735355,0.938735355,1.016642513,-1.016642513,0.551087817,0.448912183,0.551087817,0.448912183,-0.040294726,0.510793091,0.489206909,-0.040294726,0.040294726,0.004654977,-0.004654977,,,0,0,-0.028383374,0.028383374,0.033038351,-0.033038351,-0.028383374,0.028383374,0.033038351,-0.033038351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,00-0022250,W.Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024331,S.Tulloch,,,,,,,,,,,,,TEN,,00-0024331,,S.Tulloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
113,2009091000,PIT,TEN,PIT,home,TEN,PIT,56,10-09-2009,815,1715,3515,Half1,0,1,0,1,3,0,13:35,PIT 44,8,2,(13:35) (Shotgun) B.Roethlisberger pass incomplete deep right to M.Wallace. COVERAGE BY #24 HOPE,pass,0,1,0,1,0,0,0,deep,right,34,,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001433865,0.14908828,0.001943963,0.234800846,0.289335883,0.004776405,0.318620759,0,0,1.013147086,-1.712583494,-1.022962262,1.022962262,-1.402759831,1.402759831,-1.634676336,1.634676336,3.412572325,-5.125155819,0,0,-0.938735355,0.938735355,1.016642513,-1.016642513,2.47383697,-2.47383697,-4.108513306,4.108513306,0.510793091,0.489206909,0.510793091,0.489206909,-0.049575977,0.461217114,0.538782886,-0.040294726,0.040294726,-0.044920999,0.044920999,0.109925417,-0.159501394,0,0,-0.028383374,0.028383374,0.033038351,-0.033038351,0.081542043,-0.081542043,-0.126463042,0.126463042,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0026901,M.Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
139,2009091000,PIT,TEN,PIT,home,TEN,PIT,56,10-09-2009,807,1707,3507,Half1,0,1,0,1,4,0,13:27,PIT 44,8,2,"(13:27) (Punt formation) D.Sepulveda punts 54 yards to TEN 2, Center-G.Warren, downed by PIT-K.Lewis.",punt,0,0,0,0,0,0,0,,,,,,,,54,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001861301,0.213479555,0.003278685,0.322262127,0.244603447,0.006404003,0.208110881,0,0,-0.699436408,2.097795974,1.074833712,-1.074833712,-1.402759831,1.402759831,-1.634676336,1.634676336,,,0,0,-0.938735355,0.938735355,1.016642513,-1.016642513,2.47383697,-2.47383697,-4.108513306,4.108513306,0.461217114,0.538782886,0.461217114,0.538782886,0.097712287,0.558929401,0.441070599,-0.040294726,0.040294726,-0.044920999,0.044920999,,,0,0,-0.028383374,0.028383374,0.033038351,-0.033038351,0.081542043,-0.081542043,-0.126463042,0.126463042,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,00-0025499,D.Sepulveda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
162,2009091000,PIT,TEN,TEN,away,PIT,TEN,98,10-09-2009,796,1696,3496,Half1,0,2,0,1,1,0,13:16,TEN 2,10,0,"(13:16) C.Johnson up the middle to TEN 2 for no gain (B.Keisel, J.Farrior).",run,0,0,0,0,0,0,0,,,,,middle,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.002944085,0.236917828,0.025922799,0.370073667,0.144684949,0.003099273,0.216357399,0,0,-1.398359566,-0.696302134,1.771135846,-1.771135846,-0.706457698,0.706457698,-1.634676336,1.634676336,,,0,0,-0.938735355,0.938735355,1.016642513,-1.016642513,2.47383697,-2.47383697,-4.108513306,4.108513306,0.441070599,0.558929401,0.558929401,0.441070599,-0.019523828,0.578453229,0.421546771,-0.020770898,0.020770898,-0.044920999,0.044920999,,,0,0,-0.028383374,0.028383374,0.033038351,-0.033038351,0.081542043,-0.081542043,-0.126463042,0.126463042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,00-0026164,C.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0021344,B.Keisel,PIT,00-0005082,J.Farrior,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
183,2009091000,PIT,TEN,TEN,away,PIT,TEN,98,10-09-2009,760,1660,3460,Half1,0,2,0,1,2,0,12:40,TEN 2,10,4,(12:40) K.Collins pass short left to A.Hall to TEN 6 for 4 yards (T.Polamalu).,pass,4,0,0,1,0,0,0,short,left,3,1,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.003282641,0.264021776,0.024131588,0.40939662,0.116551082,0.00330483,0.179311463,0,0,-2.094661699,-0.179149379,1.950285225,-1.950285225,-0.706457698,0.706457698,-1.455526957,1.455526957,-0.521641467,0.342492088,-0.521641467,0.342492088,-0.417093889,0.417093889,0.674150426,-0.674150426,2.995478437,-2.995478437,-4.451005393,4.451005393,0.421546771,0.578453229,0.578453229,0.421546771,-0.004427284,0.582880513,0.417119487,-0.020770898,0.020770898,-0.040493715,0.040493715,-0.016087794,0.01166051,-0.016087794,0.01166051,-0.01229558,0.01229558,0.021377841,-0.021377841,0.097629837,-0.097629837,-0.138123552,0.138123552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0003292,K.Collins,00-0024489,A.Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,,00-0022119,,T.Polamalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
207,2009091000,PIT,TEN,TEN,away,PIT,TEN,94,10-09-2009,731,1631,3431,Half1,0,2,0,1,3,0,12:11,TEN 6,6,2,(12:11) (Shotgun) C.Johnson left end to TEN 4 for -2 yards (T.Polamalu).,run,-2,1,0,0,0,0,0,,,,,left,end,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.0032443,0.282790726,0.018506817,0.420930484,0.086777446,0.003299161,0.184451066,0,0,-2.273811079,-1.119477208,3.069762433,-3.069762433,0.413019511,-0.413019511,-1.455526957,1.455526957,,,0,0,-0.417093889,0.417093889,0.674150426,-0.674150426,2.995478437,-2.995478437,-4.451005393,4.451005393,0.417119487,0.582880513,0.582880513,0.417119487,-0.034663173,0.617543686,0.382456314,0.013892274,-0.013892274,-0.040493715,0.040493715,,,0,0,-0.01229558,0.01229558,0.021377841,-0.021377841,0.097629837,-0.097629837,-0.138123552,0.138123552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,00-0026164,C.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0022119,T.Polamalu,,,,,,,,,,,,,PIT,,00-0022119,,T.Polamalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
228,2009091000,PIT,TEN,TEN,away,PIT,TEN,96,10-09-2009,694,1594,3394,Half1,0,2,0,1,4,0,11:34,TEN 4,8,2,"(11:34) (Punt formation) C.Hentrich punts 50 yards to PIT 46, Center-K.Amato. S.Logan to TEN 43 for 11 yards (M.Griffin).",punt,0,0,0,0,0,0,0,,,,,,,,50,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.003022778,0.337299728,0.01342987,0.483402289,0.023640903,0.003213415,0.135991017,0,0,-3.393288287,-0.021312622,3.091075056,-3.091075056,0.413019511,-0.413019511,-1.455526957,1.455526957,,,0,0,-0.417093889,0.417093889,0.674150426,-0.674150426,2.995478437,-2.995478437,-4.451005393,4.451005393,0.382456314,0.617543686,0.617543686,0.382456314,0.026054484,0.591489202,0.408510798,0.013892274,-0.013892274,-0.040493715,0.040493715,,,0,0,-0.01229558,0.01229558,0.021377841,-0.021377841,0.097629837,-0.097629837,-0.138123552,0.138123552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,00-0026491,S.Logan,,,,,,,00-0007308,C.Hentrich,,,,,,,,,,,,,,,,,,,,,TEN,,00-0025406,,M.Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,11,,,,,0,,,0,0,0,0
253,2009091000,PIT,TEN,PIT,home,TEN,TEN,43,10-09-2009,684,1584,3384,Half1,0,3,0,1,1,0,11:24,TEN 43,10,3,(11:24) B.Roethlisberger pass short right to M.Wallace to TEN 40 for 3 yards (W.Hayes).,pass,3,0,0,1,0,0,0,short,right,-2,5,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001494475,0.069965384,0.000275498,0.107950632,0.336206587,0.00333385,0.480773574,0,0,3.414600909,-0.215292526,2.87578253,-2.87578253,0.413019511,-0.413019511,-1.670819483,1.670819483,-0.680789806,0.46549728,-0.680789806,0.46549728,-1.097883694,1.097883694,1.139647706,-1.139647706,2.314688631,-2.314688631,-3.985508113,3.985508113,0.591489202,0.408510798,0.591489202,0.408510798,-0.006084153,0.585405049,0.414594951,0.013892274,-0.013892274,-0.046577868,0.046577868,-0.022089483,0.01600533,-0.022089483,0.01600533,-0.034385063,0.034385063,0.037383171,-0.037383171,0.075540354,-0.075540354,-0.122118222,0.122118222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0026901,M.Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0026243,,W.Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
277,2009091000,PIT,TEN,PIT,home,TEN,TEN,40,10-09-2009,648,1548,3348,Half1,0,3,0,1,2,0,10:48,TEN 40,7,13,(10:48) B.Roethlisberger pass short left to S.Holmes to TEN 30 for 10 yards (M.Griffin).,pass,10,0,0,1,0,0,0,short,left,-1,11,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001715129,0.073201227,0.000384833,0.113601209,0.361322331,0.003500739,0.446274532,0,0,3.199308384,0.862422667,3.738205197,-3.738205197,0.413019511,-0.413019511,-0.808396816,0.808396816,-0.877942209,1.740364875,-0.877942209,1.740364875,-1.975825903,1.975825903,2.880012581,-2.880012581,1.436746422,-1.436746422,-2.245143238,2.245143238,0.585405049,0.414594951,0.585405049,0.414594951,0.029753744,0.615158792,0.384841208,0.013892274,-0.013892274,-0.016824125,0.016824125,-0.028057554,0.057811298,-0.028057554,0.057811298,-0.062442617,0.062442617,0.095194469,-0.095194469,0.0474828,-0.0474828,-0.064306925,0.064306925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0024240,S.Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0025406,,M.Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
301,2009091000,PIT,TEN,PIT,home,TEN,TEN,30,10-09-2009,621,1521,3321,Half1,0,3,0,1,1,0,10:21,TEN 30,10,12,"(10:21) W.Parker right guard to TEN 31 for -1 yards (J.Jones, S.Tulloch).",run,-1,0,0,0,0,0,0,,,,,right,guard,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001304733,0.046332179,8.31E-05,0.071180298,0.363390339,0.002996116,0.514713233,0,0,4.06173105,-0.542287422,3.195917775,-3.195917775,-0.129267911,0.129267911,-0.808396816,0.808396816,,,0,0,-1.975825903,1.975825903,2.880012581,-2.880012581,1.436746422,-1.436746422,-2.245143238,2.245143238,0.615158792,0.384841208,0.615158792,0.384841208,-0.017336767,0.597822025,0.402177975,-0.003444493,0.003444493,-0.016824125,0.016824125,,,0,0,-0.062442617,0.062442617,0.095194469,-0.095194469,0.0474828,-0.0474828,-0.064306925,0.064306925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,00-0022250,W.Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026194,J.Jones,,,,,,,,,,,,,,,,,,,00-0026194,J.Jones,TEN,00-0024331,S.Tulloch,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
322,2009091000,PIT,TEN,PIT,home,TEN,TEN,31,10-09-2009,583,1483,3283,Half1,0,3,0,1,2,0,09:43,TEN 31,11,21,(9:43) B.Roethlisberger pass short right to H.Miller to TEN 22 for 9 yards (C.Hope).,pass,9,0,0,1,0,0,0,short,right,-2,11,,,,,,,3,3,0,,,3,3,0,0,0,0,0,0,0,0,0.001719311,0.05749571,0.00021092,0.09006036,0.403609351,0.003276674,0.443627674,0,0,3.519443628,0.250046255,3.44596403,-3.44596403,-0.129267911,0.129267911,-0.558350561,0.558350561,-0.906338727,1.156384982,-0.906338727,1.156384982,-2.882164631,2.882164631,4.036397564,-4.036397564,0.530407695,-0.530407695,-1.088758256,1.088758256,0.597822025,0.402177975,0.597822025,0.402177975,0.00969852,0.607520545,0.392479455,-0.003444493,0.003444493,-0.007125605,0.007125605,-0.029461992,0.039160512,-0.029461992,0.039160512,-0.091904609,0.091904609,0.134354981,-0.134354981,0.018020808,-0.018020808,-0.025146413,0.025146413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0023465,H.Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0021219,,C.Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0
